@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_words_more_3_syl numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute verb_phrase_density_incidence numeric
@attribute flesch numeric
@attribute similarity_pairs_par_std numeric
@attribute similarity_adjacent_par_std numeric
@attribute polysemic_index numeric
@attribute mean_distinct_rare numeric
@attribute words_length_no_stopwords_std numeric
@attribute num_paragraphs_incidence numeric
@attribute num_subord_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute simple_ttr numeric
@attribute lemma_ttr numeric
@attribute ratio_proper_nouns_per_nouns numeric
@attribute content_overlap_all_mean numeric
@attribute level {0,1}

@data
20,857.9015,13.75,164.1337,48.9047,0.0639,0.0212,3.9054,24.1667,2.2726,9.1185,100.304,24.3161,12.1581,88.1459,0.5076,0.617,0.0667,0.0321,0
18,786.2161,6.119,146.8927,89.0525,0.1161,0.1037,3.6646,31.7919,1.8987,38.1356,79.096,11.2994,8.4746,77.6836,0.339,0.5268,0.3505,0.016,1
93,1125.0176,4.5189,154.3327,80.7727,0.1047,0.0792,4.4413,33.5317,1.9668,22.1379,68.3112,15.8128,22.7704,106.8944,0.396,0.4548,0.2089,0.0086,1
43,909.1248,3.1118,176.1724,92.4485,0.1158,0.0926,4.3778,31.0256,1.8214,46.8948,65.9062,17.744,14.5754,76.6793,0.3207,0.3904,0.033,0.0113,1
108,1541.8586,4.0448,138.2488,71.7593,0.1516,0.0552,4.3107,44.0771,2.2661,23.0415,61.0599,6.9124,41.4747,184.3318,0.5138,0.5645,0.0917,0.0036,1
59,1094.5353,5.0476,192.9825,76.8605,0.1109,0.0508,3.8587,31.0078,2.1575,8.0972,101.2146,12.1457,18.8934,107.9622,0.4426,0.4872,0.0074,0.0146,1
38,772.4554,8.4444,163.6364,48.9097,0.0662,0.0019,5.1558,14.2857,3.4438,10.9091,94.5455,40,7.2727,54.5455,0.5527,0.6436,0.1406,0.0299,0
28,775.3089,7.8462,172.043,65.5555,0.0452,0.0216,5.0337,19.708,2.5801,8.0645,107.5269,8.0645,13.4409,72.5806,0.5027,0.5941,0.0571,0.0215,0
32,870.0025,5.8235,166.6667,68.6761,0.0422,0,6.0484,25,2.8792,6.5359,78.4314,9.8039,13.0719,91.5033,0.5261,0.5588,0.1268,0.0145,0
22,833.9114,30.3333,192.7273,?,0.0146,0,4.5484,23.4694,2.9234,7.2727,141.8182,18.1818,10.9091,83.6364,0.5345,0.6327,0.1132,0.0378,0
31,852.1531,8.3077,162.234,64.998,0.0554,0.0253,4.6634,23.4848,2.0424,7.9787,93.0851,21.2766,18.617,82.4468,0.484,0.5798,0.2368,0.0244,0
102,1458.5916,6.1964,147.3779,70.3297,0.0726,0.0338,4.7521,43.1818,2.1054,8.1374,65.0995,26.2206,23.5081,154.6112,0.4376,0.5181,0.1684,0.0066,1
84,938.7427,7.2326,160.697,66.5183,0.1043,0.1223,4.3494,43.0723,1.889,13.5528,89.061,23.2333,25.1694,138.4318,0.395,0.4598,0.1222,0.0089,1
105,1139.1539,3.123,190.5151,83.5323,0.1078,0.0773,4.0162,29.2343,2.2033,27.8005,79.3132,9.8119,31.0711,103.0253,0.4374,0.5258,0.2101,0.0078,1
120,1379.0384,4.6988,159.2466,72.589,0.1103,0.0987,4.1779,36.6589,2.2116,35.9589,65.0685,7.7055,24.8288,135.274,0.4503,0.5205,0.1572,0.0061,1
53,1212.2601,3.1954,144.9631,84.8887,0.1072,0.0467,4.1505,33.0097,2.1292,13.5135,57.7396,9.828,19.656,125.3071,0.4963,0.5602,0.0857,0.0025,1
41,999.942,10.6667,182.8979,48.0621,0.0695,0.0245,4.9444,16.8831,2.4225,9.5012,106.8884,26.1283,7.1259,61.7577,0.5249,0.5487,0.1622,0.0219,0
32,1135.1227,4.8636,179.2717,74.3218,0.0827,0,4.974,21.5827,2.4384,5.6022,103.6415,14.0056,11.2045,84.0336,0.5854,0.6275,0.2113,0.009,0
20,976.1004,5.125,189.5425,72.8227,0.0665,0,4.3929,23.0088,2.5139,6.5359,81.6993,35.9477,6.5359,84.9673,0.5261,0.5882,0.0862,0.0192,0
40,900.2495,5.75,188.5965,66.4074,0.0777,0.0145,4.8649,29.8246,3.2479,8.7719,107.4561,4.386,19.7368,111.8421,0.5197,0.5614,0.0361,0.0164,0
16,925.8693,5.3889,185.4305,79.4618,0.0926,0,4.5065,19.8276,2.4056,6.6225,99.3377,6.6225,13.245,76.1589,0.5563,0.6192,0.0156,0.0111,0
128,1175.509,5.2239,148.9002,67.2718,0.1029,0.0356,4.4027,33.012,2.2107,13.5364,60.0677,12.6904,20.3046,115.9052,0.4272,0.5245,0.0968,0.0089,1
60,1071.2252,5.6765,134.0058,66.2794,0.1022,0.0384,4.3506,27.9245,2.2679,11.5274,61.9597,5.7637,27.3775,106.6282,0.4726,0.5418,0,0.0085,1
32,1243.659,4.1026,171.5481,83.8782,0.1035,0.0788,5.5905,32.0856,2.0277,25.1046,81.59,4.1841,23.0126,125.523,0.5146,0.6004,0.0283,0.0053,1
64,1139.9643,4.5806,163.0197,78.6304,0.1032,0.0824,4.986,34.8123,2.0212,22.9759,63.4573,17.5055,13.1291,111.5974,0.4212,0.4726,0.0838,0.0113,1
94,1085.8518,2.9933,180.8847,84.6293,0.139,0,4.4077,25.4321,2.4644,1.5798,76.6193,26.8562,6.3191,81.3586,0.4092,0.5205,0.1389,0.0044,1
21,720.9961,5.5789,175.0742,73.3775,0.0578,0,4.7396,21.2598,2.3299,5.9347,97.9228,11.8694,5.9347,80.1187,0.5163,0.5519,0.1098,0.0185,0
20,968.5982,4.1111,188.5246,76.2101,0.0725,0,4.6667,22.2222,3.5056,8.1967,81.9672,12.2951,8.1967,90.1639,0.582,0.6189,0.1091,0.0176,0
38,1080.7623,4.88,165.3543,74.2873,0.0839,0,5.3978,20.1342,2.5961,5.2493,81.3648,7.874,13.1234,78.7402,0.5276,0.5879,0.0345,0.0186,0
28,1106.7568,6.5333,174.0614,66.916,0.0666,0,4.1471,22.807,2.5209,6.8259,88.7372,10.2389,6.8259,88.7372,0.5666,0.6587,0.209,0.0162,0
23,1000.7091,6.2143,177.7003,70.3202,0.0618,0,5.0735,24.1667,2.1197,6.9686,108.0139,27.8746,27.8746,101.0453,0.5958,0.6272,0.1667,0.0113,0
36,947.9739,4.5,124.4898,77.7727,0.1353,0.1398,4.3516,25.1572,2.4121,34.6939,46.9388,10.2041,16.3265,81.6327,0.4531,0.5347,0.1048,0.0248,1
74,1198.9303,5.95,150.0647,68.1376,0.1168,0.0576,5.0359,33.9286,2.145,14.2303,73.7387,11.6429,16.8176,122.8978,0.4618,0.4761,0,0.0093,1
92,972.7457,5.7447,161.1877,71.9104,0.0897,0.0482,4.8915,30,2.3923,12.7253,85.8961,22.2694,16.9671,92.2587,0.3849,0.4231,0.0469,0.0194,1
