@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_sentences numeric
@attribute num_adv numeric
@attribute num_lexic_words numeric
@attribute num_adj numeric
@attribute num_rare_adj numeric
@attribute num_dif_rare_words numeric
@attribute num_indic numeric
@attribute num_ger numeric
@attribute num_decendents_noun_phrase numeric
@attribute num_different_forms numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute num_past_irregular_mean numeric
@attribute sentences_length_no_stopwords_mean numeric
@attribute words_length_std numeric
@attribute num_proper_noun_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute verb_density numeric
@attribute level {0,1}

@data
19,9,59,41,14,31,6,1,1,1.5263,0.0571,309.7345,6.6316,6.8095,2.2427,26.5487,11.7994,5.8997,79.646,0.174,0
18,8,45,36,12,24,3,2,1.2237,3.6667,0.0507,306.4516,5.3333,6.5521,2.4789,32.2581,12.0968,12.0968,88.7097,0.1815,0
24,3,66,47,29,34,5,3,1.0163,2.4583,0.0528,315.3846,5.5833,6.9627,2.3782,7.6923,7.6923,12.8205,76.9231,0.1692,0
16,14,55,33,20,27,6,3,1.0505,3.5,0.0521,330,7.6875,6.8374,2.3166,46.6667,10,6.6667,86.6667,0.1833,0
14,5,54,36,23,34,5,6,0.908,4.0714,0.0463,296.9283,7.6429,6.8037,2.2951,17.0648,27.3038,23.8908,105.802,0.1843,0
34,115,228,12,78,45,28,1,1.7643,223,952.244,4.6176,0.3214,5.5294,2.6463,234.6939,59.1837,24.4898,81.6327,0.1286,1
40,151,354,0,130,104,36,2,1.3445,356,1182.0595,5.95,0.4062,6.775,2.6702,195.0904,43.9276,40.0517,124.031,0.1537,1
48,185,448,9,167,104,48,0,1.2472,365,987.1498,5.6458,0.4167,6.9167,2.6688,195.9746,32.839,34.9576,101.6949,0.1674,1
133,244,586,25,240,222,77,3,1.4467,545,1235.6151,2.609,0.283,3.6015,2.7522,212.1739,33.913,86.9565,165.2174,0.1678,1
38,90,272,58,124,77,35,0,1.597,296,914.5786,5.2895,0.4,6.6579,2.5448,129.3103,43.1034,33.046,89.0805,0.148,1
15,55,36,133,17,27,20,1,1.0256,2,0.0496,293.2331,6.7333,6.8911,2.5067,184.2105,48.8722,30.0752,101.5038,0.2068,0
19,57,40,155,12,19,14,1,1.0495,4.2105,0.0581,319.6203,5.1053,6.2474,2.1344,215.1899,22.1519,15.8228,60.1266,0.1804,0
13,48,31,120,20,26,25,1,1.1818,4.6154,0.0476,315.5738,7.6154,7.2222,2.553,225.4098,32.7869,20.4918,106.5574,0.1967,0
13,37,23,89,11,18,10,2,0.8788,5.0769,0.0652,328.3582,6.2308,6.8272,2.4312,149.2537,44.7761,9.9502,89.5522,0.1841,0
16,59,37,159,15,26,15,3,0.98,2.9375,0.0488,311.5265,6.8125,6.6881,2.2883,180.6854,46.729,24.9221,80.9969,0.1838,0
37,136,11,397,47,169,69,5,1.3037,330,869.0725,7.2973,0.4062,7.5676,2.3823,0,34.6062,17.8998,82.3389,0.1623,1
47,133,37,341,10,119,54,8,1.6085,271,777.0991,4.0213,0.1667,5.1489,2.8451,6,40.5797,33.3333,78.2609,0.1928,1
25,80,14,250,1,101,60,6,1.1959,252,1083.8105,5.92,0,7.48,2.9401,0,36.6379,45.2586,129.3103,0.1724,1
35,122,32,375,20,170,76,8,1.8675,398,1265.3805,6.6857,0.3125,8.7429,2.6195,7,30.6905,33.2481,97.1867,0.156,1
48,129,17,323,32,111,45,3,1.0094,287,835.0126,4.4167,0.5385,4.6458,2.4075,21,51.2048,9.0361,67.7711,0.1943,1
